Category,Collector,Name,JSON Path,Unit,Type,Description,Source,Link,Notes
Dynamic,nvidia,Nvidia*MemoryBar1Used,Nvidia[].Memory.Bar1Used,bytes,Gauge,Used BAR1 memory in bytes. BAR1 is used to map the FB (device memory) so that it can be directly accessed by the CPU or by 3rd party devices (peer-to-peer on the PCIE bus).,nvmlDeviceGetBAR1MemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g52c5036ce0db5dc56ad61f284500f3eb,
Dynamic,nvidia,Nvidia*MemoryFree,Nvidia[].Memory.Free,bytes,Gauge,Free GPU memory in bytes.,nvmlDeviceGetMemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g2dfeb1db82aa1de91aa6edf941c85ca8,
Dynamic,nvidia,Nvidia*MemoryUsed,Nvidia[].Memory.Used,bytes,Gauge,"Used GPU memory in bytes. Under Linux and Windows TCC, the reported amount of used memory is equal to the sum of memory allocated by all active channels on the device.",nvmlDeviceGetMemoryInfo(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g2dfeb1db82aa1de91aa6edf941c85ca8,
Dynamic,nvidia,Nvidia*PCIeReplayCounter,Nvidia[].PCIe.ReplayCounter,replays,Counter,The PCIe replay counter.,nvmlDeviceGetPcieReplayCounter(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g05e843ebaebc280d0a3c7be61394fb74,
Dynamic,nvidia,Nvidia*PCIeRxThroughput,Nvidia[].PCIe.RxThroughput,KB/s,Gauge,PCIe receive throughput in KB/s over a 20ms sample window.,nvmlDeviceGetPcieThroughput(PCIE_UTIL_RX_BYTES),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gd86f1c74f81b5ddfaa6cb81b51030c72,
Dynamic,nvidia,Nvidia*PCIeTxThroughput,Nvidia[].PCIe.TxThroughput,KB/s,Gauge,PCIe transmit throughput in KB/s over a 20ms sample window.,nvmlDeviceGetPcieThroughput(PCIE_UTIL_TX_BYTES),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gd86f1c74f81b5ddfaa6cb81b51030c72,
Dynamic,nvidia,Nvidia*PowerEnergy,Nvidia[].Power.Energy,millijoules,Counter,Total energy consumption for this GPU in millijoules (mJ) since the driver was last reloaded.,nvmlDeviceGetTotalEnergyConsumption(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g732ab899b5bd18ac4bfb93c02de4900a,
Dynamic,nvidia,Nvidia*PowerUsage,Nvidia[].Power.Usage,milliwatts,Gauge,"Power usage for this GPU in milliwatts and its associated circuitry (e.g. memory). On Fermi and Kepler GPUs the reading is accurate to within +/- 5% of current power draw. On Ampere (except GA100) or newer GPUs, the API returns power averaged over 1 sec interval. On GA100 and older architectures, instantaneous power is returned.",nvmlDeviceGetPowerUsage(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g7ef7dff0ff14238d08a19ad7fb23fc87,
Dynamic,nvidia,Nvidia*ProcessesCount,Nvidia[].Processes.Count,count,Gauge,Number of processes with a compute or graphics context on the device.,nvmlDeviceGetComputeRunningProcesses(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g34afcba3d32066db223265aa022a6b80,
Dynamic,nvidia,Nvidia*ProcessesList*Decoder,Nvidia[].Processes.List[].Decoder,percent,Gauge,Decoder utilization percentage for this process.,nvmlDeviceGetProcessUtilization() → decUtil,https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gb0ea5236f5e69e63bf53684a11c233bd,
Dynamic,nvidia,Nvidia*ProcessesList*Encoder,Nvidia[].Processes.List[].Encoder,percent,Gauge,Encoder utilization percentage for this process.,nvmlDeviceGetProcessUtilization() → encUtil,https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gb0ea5236f5e69e63bf53684a11c233bd,
Dynamic,nvidia,Nvidia*ProcessesList*MemUtil,Nvidia[].Processes.List[].MemUtil,percent,Gauge,Memory utilization percentage for this process.,nvmlDeviceGetProcessUtilization() → memUtil,https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gb0ea5236f5e69e63bf53684a11c233bd,
Dynamic,nvidia,Nvidia*ProcessesList*MemoryUsed,Nvidia[].Processes.List[].MemoryUsed,bytes,Gauge,GPU memory used by this process in bytes.,nvmlDeviceGetComputeRunningProcesses() → usedGpuMemory,https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g34afcba3d32066db223265aa022a6b80,
Dynamic,nvidia,Nvidia*ProcessesList*PID,Nvidia[].Processes.List[].PID,PID,Plain,Process ID.,nvmlDeviceGetComputeRunningProcesses() / nvmlDeviceGetGraphicsRunningProcesses(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g34afcba3d32066db223265aa022a6b80,
Dynamic,nvidia,Nvidia*ProcessesList*SM,Nvidia[].Processes.List[].SM,percent,Gauge,SM (streaming multiprocessor) utilization percentage for this process.,nvmlDeviceGetProcessUtilization() → smUtil,https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gb0ea5236f5e69e63bf53684a11c233bd,
Dynamic,nvidia,Nvidia*ProcessesList*T,Nvidia[].Processes.List[].T,microseconds since Unix epoch,Gauge,Timestamp of the utilization sample for this process in microseconds.,nvmlDeviceGetProcessUtilization() → timeStamp,https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gb0ea5236f5e69e63bf53684a11c233bd,
Dynamic,nvidia,Nvidia*ProcessesList*Type,Nvidia[].Processes.List[].Type,string,Gauge,"Process type: 'compute' for CUDA applications with active context (from nvmlDeviceGetComputeRunningProcesses), 'graphics' for applications using OpenGL/DirectX (from nvmlDeviceGetGraphicsRunningProcesses), or 'mps' for Multi-Process Service compute processes (from nvmlDeviceGetMPSComputeRunningProcesses).",nvmlDeviceGetComputeRunningProcesses() / nvmlDeviceGetGraphicsRunningProcesses(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g34afcba3d32066db223265aa022a6b80,
Dynamic,nvidia,Nvidia*ProcessesTimestamp,Nvidia[].Processes.Timestamp,nanoseconds since Unix epoch,Gauge,Last sample timestamp used for process utilization queries in microseconds.,nvmlDeviceGetProcessUtilization() → lastSeenTimeStamp,https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gb0ea5236f5e69e63bf53684a11c233bd,
Dynamic,nvidia,Nvidia*ThermalGPU,Nvidia[].Thermal.GPU,°C,Gauge,The current temperature readings for the device in degrees C for the GPU temperature sensor.,nvmlDeviceGetTemperature(GPU),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g92d1c5182a14dd4be7090e3c1480b121,
Dynamic,nvidia,Nvidia*UtilizationGPU,Nvidia[].Utilization.GPU,percent,Gauge,Percent of time over the past sample period during which one or more kernels was executing on the GPU. The sample period may be between 1 second and 1/6 second depending on the product.,nvmlDeviceGetUtilizationRates(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g540824faa6cef45500e0d1dc2f50b321,
Dynamic,nvidia,Nvidia*UtilizationMemory,Nvidia[].Utilization.Memory,percent,Gauge,Percent of time over the past sample period during which global (device) memory was being read or written. The sample period may be between 1 second and 1/6 second depending on the product.,nvmlDeviceGetUtilizationRates(),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1g540824faa6cef45500e0d1dc2f50b321,
Dynamic,nvidia,Nvidia*ViolationsPower,Nvidia[].Violations.Power,nanoseconds,Counter,The amount of time in nanoseconds that the device has been in a power violation state (throttling due to power constraints).,nvmlDeviceGetViolationStatus(POWER),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gcc2017c0a98ad5f5d9c2dcd6bb82f393,
Dynamic,nvidia,Nvidia*ViolationsThermal,Nvidia[].Violations.Thermal,nanoseconds,Counter,The amount of time in nanoseconds that the device has been in a thermal violation state (throttling due to thermal constraints).,nvmlDeviceGetViolationStatus(THERMAL),https://docs.nvidia.com/deploy/nvml-api/group__nvmlDeviceQueries.html#group__nvmlDeviceQueries_1gcc2017c0a98ad5f5d9c2dcd6bb82f393,
Dynamic,process,Process*BlockIODelays,Process[].BlockIODelays,clock ticks,Counter,"Aggregated block I/O delays, measured in clock ticks",/proc/[pid]/stat → field 42,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*ChildrenKernelMode,Process[].ChildrenKernelMode,clock ticks,Counter,"Total time children processes of the parent were scheduled in kernel mode, measured in clock ticks",/proc/[pid]/stat → field 17,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*ChildrenUserMode,Process[].ChildrenUserMode,clock ticks,Counter,"Total time children processes of the parent were scheduled in user mode, measured in clock ticks",/proc/[pid]/stat → field 16,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*CmdLine,Process[].CmdLine,string,Gauge,Process command line,/proc/[pid]/cmdline,https://man7.org/linux/man-pages/man5/proc_pid_cmdline.5.html,
Dynamic,process,Process*CpuTimeKernelMode,Process[].CpuTimeKernelMode,clock ticks,Counter,"Total CPU time this process was scheduled in kernel mode, measured in clock ticks (divide by sysconf(_SC_CLK_TCK))",/proc/[pid]/stat → field 15,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*CpuTimeUserMode,Process[].CpuTimeUserMode,clock ticks,Counter,"Total CPU time this process was scheduled in user mode, measured in clock ticks (divide by sysconf(_SC_CLK_TCK))",/proc/[pid]/stat → field 14,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*Id,Process[].Id,PID,Plain,Process ID,/proc/[pid]/stat → field 1,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*Name,Process[].Name,string,Gauge,Process name,/proc/[pid]/stat → field 2,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*NonvoluntaryContextSwitches,Process[].NonvoluntaryContextSwitches,switches,Counter,Number of involuntary context switches,/proc/[pid]/status → nonvoluntary_ctxt_switches,https://man7.org/linux/man-pages/man5/proc_pid_status.5.html,
Dynamic,process,Process*NumThreads,Process[].NumThreads,count,Gauge,Number of threads in this process,/proc/[pid]/stat → field 20,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*ResidentSetSize,Process[].ResidentSetSize,pages,Gauge,"Resident Set Size: number of pages the process has in real memory. This is just the pages which count toward text, data, or stack space. This does not include pages which have not been demand-loaded in, or which are swapped out",/proc/[pid]/stat → field 24,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*VirtualMemoryBytes,Process[].VirtualMemoryBytes,bytes,Gauge,Virtual memory size in bytes,/proc/[pid]/stat → field 23,https://man7.org/linux/man-pages/man5/proc_pid_stat.5.html,
Dynamic,process,Process*VoluntaryContextSwitches,Process[].VoluntaryContextSwitches,switches,Counter,Number of voluntary context switches,/proc/[pid]/status → voluntary_ctxt_switches,https://man7.org/linux/man-pages/man5/proc_pid_status.5.html,
Dynamic,vllm,VllmAvailable,Vllm.Available,boolean,Gauge,Whether vLLM metrics are available,HTTP GET /metrics response status,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmDecodeTimeHist,Vllm.DecodeTimeHist,"seconds; [0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 5.0, 10.0, 15.0, 20.0, 30.0, 40.0, 50.0, 60.0, 120.0, 240.0, 480.0, 960.0, 1920.0, 7680.0, +Inf]",Histogram,Histogram of time spent in DECODE phase for request.,HTTP GET /metrics → vllm:request_decode_time_seconds_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmE2eLatencyHist,Vllm.E2eLatencyHist,"seconds; [0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 5.0, 10.0, 15.0, 20.0, 30.0, 40.0, 50.0, 60.0, 120.0, 240.0, 480.0, 960.0, 1920.0, 7680.0, +Inf]",Histogram,Histogram of e2e request latency in seconds.,HTTP GET /metrics → vllm:e2e_request_latency_seconds_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmInferenceTimeHist,Vllm.InferenceTimeHist,"seconds; [0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 5.0, 10.0, 15.0, 20.0, 30.0, 40.0, 50.0, 60.0, 120.0, 240.0, 480.0, 960.0, 1920.0, 7680.0, +Inf]",Histogram,Histogram of time spent in RUNNING phase for request.,HTTP GET /metrics → vllm:request_inference_time_seconds_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmInterTokenLatencyHist,Vllm.InterTokenLatencyHist,"seconds; [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2, 0.3, 0.4, 0.5, 0.75, 1.0, 2.5, 5.0, 7.5, 10.0, 20.0, 40.0, 80.0, +Inf]",Histogram,Histogram of inter-token latency in seconds.,HTTP GET /metrics → vllm:inter_token_latency_seconds_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmPrefillTimeHist,Vllm.PrefillTimeHist,"seconds; [0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 5.0, 10.0, 15.0, 20.0, 30.0, 40.0, 50.0, 60.0, 120.0, 240.0, 480.0, 960.0, 1920.0, 7680.0, +Inf]",Histogram,Histogram of time spent in PREFILL phase for request.,HTTP GET /metrics → vllm:request_prefill_time_seconds_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmQueueTimeHist,Vllm.QueueTimeHist,"seconds; [0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 5.0, 10.0, 15.0, 20.0, 30.0, 40.0, 50.0, 60.0, 120.0, 240.0, 480.0, 960.0, 1920.0, 7680.0, +Inf]",Histogram,Histogram of time spent in WAITING phase for request.,HTTP GET /metrics → vllm:request_queue_time_seconds_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmTtftHist,Vllm.TtftHist,"seconds; [0.001, 0.005, 0.01, 0.02, 0.04, 0.06, 0.08, 0.1, 0.25, 0.5, 0.75, 1.0, 2.5, 5.0, 7.5, 10.0, 20.0, 40.0, 80.0, 160.0, 640.0, 2560.0, +Inf]",Histogram,Histogram of time to first token in seconds.,HTTP GET /metrics → vllm:time_to_first_token_seconds_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmGenerationTokensHist,Vllm.GenerationTokensHist,"tokens; [1, 2, 5, 10, 20, 50, 100, 200, 500, 1000, 2000]",Histogram,Number of generation tokens processed.,HTTP GET /metrics → vllm:request_generation_tokens_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmPromptTokensHist,Vllm.PromptTokensHist,"tokens; [1, 2, 5, 10, 20, 50, 100, 200, 500, 1000, 2000]",Histogram,Number of prefill tokens processed.,HTTP GET /metrics → vllm:request_prompt_tokens_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmTimePerOutputTokenHist,Vllm.TimePerOutputTokenHist,"seconds; [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2, 0.3, 0.4, 0.5, 0.75, 1.0, 2.5, 5.0, 7.5, 10.0, 20.0, 40.0, 80.0, +Inf]",Histogram,Request duration normalized by output token count,HTTP GET /metrics → vllm:request_time_per_output_token_seconds_bucket,https://docs.vllm.ai/en/latest/design/metrics/,
Dynamic,vllm,VllmKvCacheUsagePercent,Vllm.KvCacheUsagePercent,percent,Gauge,KV-cache usage. 1 means 100 percent usage.,HTTP GET /metrics → vllm:kv_cache_usage_perc,https://docs.vllm.ai/en/v0.9.0/api/vllm/engine/metrics.html,
Dynamic,vllm,VllmNumPreemptionsTotal,Vllm.NumPreemptionsTotal,preemptions,Counter,Cumulative number of preemption from the engine.,HTTP GET /metrics → vllm:num_preemptions_total,https://docs.vllm.ai/en/v0.9.0/api/vllm/engine/metrics.html,
Dynamic,vllm,VllmPrefixCacheHits,Vllm.PrefixCacheHits,tokens,Counter,"Prefix cache hits, in terms of number of cached tokens.",HTTP GET /metrics → vllm:prefix_cache_hits_total,https://docs.vllm.ai/en/v0.9.0/api/vllm/engine/metrics.html,
Dynamic,vllm,VllmPrefixCacheQueries,Vllm.PrefixCacheQueries,tokens,Counter,"Prefix cache queries, in terms of number of queried tokens.",HTTP GET /metrics → vllm:prefix_cache_queries_total,https://docs.vllm.ai/en/v0.9.0/api/vllm/engine/metrics.html,
Dynamic,vllm,VllmNumRequestsRunning,Vllm.NumRequestsRunning,count,Gauge,Number of requests in model execution batches.,HTTP GET /metrics → vllm:num_requests_running,https://docs.vllm.ai/en/v0.9.0/api/vllm/engine/metrics.html,
Dynamic,vllm,VllmNumRequestsWaiting,Vllm.NumRequestsWaiting,count,Gauge,Number of requests waiting to be processed.,HTTP GET /metrics → vllm:num_requests_waiting,https://docs.vllm.ai/en/v0.9.0/api/vllm/engine/metrics.html,
Dynamic,vllm,tokens,tokens,count,Counter,Tokens emitted across all requests during this metric polling interval. Computed client-side from benchmark ITL timings binned to nearest metric sample.,process.py → add_token_columns() from tokens.raw.parquet,,
Dynamic,vllm,token_itl_sum_ms,token_itl_sum_ms,milliseconds,Counter,Total inter-token latency time accumulated across all tokens emitted in this interval. Analogous to CPU time for generation work.,process.py → add_token_columns() from tokens.raw.parquet,,
Dynamic,vllm,token_itl_max_ms,token_itl_max_ms,milliseconds,Gauge,Maximum inter-token latency observed across all tokens in this interval.,process.py → add_token_columns() from tokens.raw.parquet,,
Dynamic,vllm,token_itl_mean_ms,token_itl_mean_ms,milliseconds,Gauge,Mean inter-token latency across all tokens in this interval.,process.py → add_token_columns() from tokens.raw.parquet,,
Dynamic,vllm,active_requests,active_requests,count,Gauge,Number of distinct requests that emitted at least one token during this interval.,process.py → add_token_columns() from tokens.raw.parquet,,
Dynamic,vllm,token_ttft_sum_ms,token_ttft_sum_ms,milliseconds,Counter,Total time-to-first-token accumulated across all requests whose first token landed in this interval.,process.py → add_token_columns() from requests.raw.parquet,,
Dynamic,vllm,token_ttft_max_ms,token_ttft_max_ms,milliseconds,Gauge,Maximum time-to-first-token observed across requests whose first token landed in this interval.,process.py → add_token_columns() from requests.raw.parquet,,
Dynamic,vllm,token_ttft_mean_ms,token_ttft_mean_ms,milliseconds,Gauge,Mean time-to-first-token across requests whose first token landed in this interval.,process.py → add_token_columns() from requests.raw.parquet,,
Dynamic,vm,VmCpuContextSwitches,Vm.Cpu.ContextSwitches,switches,Counter,The total number of context switches across all CPUs,/proc/stat → ctxt,https://man7.org/linux/man-pages/man5/proc_stat.5.html,
